fuente,nombre,marca,categoria,url,ingredientes,condiciones_alimentarias,porcion,porciones_por_envase,energia_kcal,proteinas_g,grasas_totales_g,grasas_saturadas_g,grasas_trans_g,colesterol_mg,carbohidratos_g,azucares_g,sodio_mg,fibra_dietetica_g,tipo_alimento,base_calculo,sello_alto_calorias,sello_alto_azucares,sello_alto_grasas_sat,sello_alto_sodio,total_sellos
Jumbo,Leche Condensada 397 g,Cuisine & Co,"Leches Condensadas y Evaporadas > Harinas, Postres y Repostería > Despensa > Experiencias Jumbo > Marcas Exclusivas > Cuisine & Co",https://www.jumbo.cl/leche-condensada-397-g-cuisine-and-co-1858600,"Leche descremada,  Azúcar,  Leche (lactosa-caseína)","Vegetariano, Libre de Soya, Libre de Huevo, Libre de Peces, Libre de Mariscos, Libre de Maní, Libre de Frutos Secos, Libre de Nueces, Libre de Sulfitos, Libre de Trigo",3 Cucharaditas (30 g),13,312 / 93.6,8.7 / 2.6,0.7 / 0.2,,,,67.9 / 20.4,44.7 / 13.4,384 / 115.2,,solido,por_100g,SI,SI,sin_datos,NO,2
Jumbo,Crema de Leche 1 L,Surlat,"Cremas > Harinas, Postres y Repostería > Despensa",https://www.jumbo.cl/crema-de-leche-surlat-1l,"Crema de leche natural,  Leche en polvo descremada,  Emulsionante mono y diglicéridos,  Espesantes carragenina","Libre de Soya, Libre de Huevo, Libre de Peces, Libre de Mariscos, Libre de Maní, Libre de Frutos Secos, Libre de Nueces, Libre de Sulfitos, Libre de Trigo, Libre de Gluten, Kosher",2 Cucharadas (15 ml),67,314 / 47.1,3.3 / 0.5,33 / 5,21 / 3.2,0.7 / 0.1,92 / 13.8,3.4 / 0.5,3.1 / 0.5,31 / 4.7,,solido,por_100g,SI,NO,SI,NO,2
Jumbo,Botella Leche 1 L,Krea,"Cocina y Mesa > Hogar > Hogar, Juguetería y Librería",https://www.jumbo.cl/krea-botella-leche-1-l-1865967,,,,,,,,,,,,,,,indeterminado,por_100g,sin_datos,sin_datos,sin_datos,sin_datos,0
Jumbo,Leche Evaporada 386 ml,Cuisine & Co,"Leches Condensadas y Evaporadas > Harinas, Postres y Repostería > Despensa > Experiencias Jumbo > Marcas Exclusivas > Cuisine & Co",https://www.jumbo.cl/leche-evaporada-386-ml-cuisine-and-co-1843158,"Leche,  Estabilizador hidrogenfosfato disódico sin 339 ii,  Estabilizador carragenina sin 407","Vegetariano, Libre de Soya, Libre de Huevo, Libre de Peces, Libre de Mariscos, Libre de Maní, Libre de Frutos Secos, Libre de Nueces, Libre de Sulfitos, Libre de Trigo",1 Vaso (100 ml),4,141 / 141,6.4 / 6.4,8 / 8,5.5 / 5.5,0.1 / 0.1,24.3 / 24.3,10.8 / 10.8,10.8 / 10.8,92 / 92,,liquido,por_100ml,SI,SI,SI,NO,3
Jumbo,Leche Loncoleche Semidescremada 1 L,Loncoleche,"Leche Líquida > Leches > Lácteos, Huevos y Congelados",https://www.jumbo.cl/leche-semidescremada-1-l,"Leche fluida natural semidescremada,  Maltodextrina,  Vitamina d3 (colecalciferol)","Libre de Soya, Libre de Huevo, Libre de Mariscos, Libre de Maní, Libre de Frutos Secos, Libre de Nueces, Libre de Sulfitos, Libre de Trigo, Libre de Gluten",1 Vaso (200 ml),5,45 / 90,3.2 / 6.4,1.5 / 3,1 / 2,0.1 / 0.2,6 / 12,4.6 / 9.2,4.6 / 9.2,40 / 80,,liquido,por_100ml,NO,NO,NO,NO,0
Jumbo,Leche Colun Descremada 1 L,Colun,"Leche Líquida > Leches > Lácteos, Huevos y Congelados",https://www.jumbo.cl/leche-descremada-colun-1-l-2,"Leche fluida natural descremada,  Vitamina d3","Libre de Soya, Libre de Huevo, Libre de Mariscos, Libre de Maní, Libre de Frutos Secos, Libre de Nueces, Libre de Sulfitos, Libre de Trigo, Libre de Gluten, Kosher",1 Vaso (200 ml),5,34 / 68,3.3 / 6.6,0.1 / 0.2,0.07 / 0.1,0 / 0,0.32 / 0.6,4.7 / 9.4,4.7 / 9.4,40 / 80,,liquido,por_100ml,NO,NO,NO,NO,0
Jumbo,Leche Surlat Descremada 1 L,Surlat,"Leche Líquida > Leches > Lácteos, Huevos y Congelados",https://www.jumbo.cl/leche-descremada-surlat-b-a-1l-1991552,"Leche natural descremada,  Vitamina d3","Libre de Soya, Libre de Huevo, Libre de Mariscos, Libre de Maní, Libre de Frutos Secos, Libre de Nueces, Libre de Sulfitos, Libre de Trigo, Libre de Gluten, Kosher",1 Taza (200 ml),5,33 / 66,3.3 / 6.6,0.1 / 0.2,,,,4.8 / 9.6,4.8 / 9.6,41 / 82,,liquido,por_100ml,NO,NO,sin_datos,NO,0
Jumbo,Leche Surlat Semidescremada 1 L,Surlat,"Leche Líquida > Leches > Lácteos, Huevos y Congelados",https://www.jumbo.cl/leche-semidesc-surlat-b-a-1l-1991553,"Leche natural semidescremada,  Vitamina d3","Libre de Soya, Libre de Huevo, Libre de Mariscos, Libre de Maní, Libre de Frutos Secos, Libre de Nueces, Libre de Sulfitos, Libre de Trigo, Libre de Gluten, Kosher",1 Taza (200 ml),5,45 / 90,3.2 / 6.4,1.5 / 3,1 / 2,0.1 / 0.2,6.3 / 12.6,4.9 / 9.8,4.7 / 9.4,44 / 88,,liquido,por_100ml,NO,NO,NO,NO,0
Jumbo,Chocolate de Leche Trencito 80 g,Trencito,"Chocolates en Barra > Chocolates > Chocolates, Galletas y Snacks",https://www.jumbo.cl/trencito-80g-cl-1905086,"Azúcar,  Leche (25%),  Manteca de cacao,  Masa de cacao,  Lecitina de soya,  Polirricinoleato de poliglicerol,  Saborizante natural vainilla de madagascar,  Leche,  Soya","Vegetariano, Libre de Huevo, Libre de Peces, Libre de Mariscos, Libre de Maní, Libre de Sulfitos, Libre de Trigo, Kosher",5 Cuadritos (16 g),5,548 / 87.7,8.3 / 1.3,30.5 / 4.9,19 / 3,0.6 / 0.1,22 / 3.5,60 / 9.6,52.3 / 8.4,108 / 17.3,,solido,por_100g,SI,SI,SI,NO,3
Jumbo,Leche Loncoleche Descremada 1 L,Loncoleche,"Leche Líquida > Leches > Lácteos, Huevos y Congelados",https://www.jumbo.cl/leche-descremada-1-l,"Leche fluida natural descremada,  Maltodextrina,  Vitamina d3 (colecalciferol)","Libre de Soya, Libre de Huevo, Libre de Mariscos, Libre de Maní, Libre de Frutos Secos, Libre de Nueces, Libre de Sulfitos, Libre de Trigo, Libre de Gluten",1 Vaso (200 ml),5,33 / 66,3.3 / 6.6,0.1 / 0.2,,,,4.8 / 9.6,4.8 / 9.6,40 / 80,,liquido,por_100ml,NO,NO,sin_datos,NO,0
